기간	컬럼1	컬럼2	합계	합계	합계	자영업주 및 무급가족	자영업주 및 무급가족	상용근로자	상용근로자	임시 및 일용근로자	임시 및 일용근로자	기타 종사자	기타 종사자
기간	컬럼1	컬럼2	사업체수	총종사자수	여성종사자	소계	여성종사자	소계	여성종사자	소계	여성종사자	소계	여성종사자
2016	합계	합계	820,156	5,079,451	2,232,049	746,054	307,919	3,460,938	1,492,985	666,090	309,489	206,369	121,656
2016	종로구	소계	40,664	268,309	113,975	37,659	15,096	196,356	80,945	26,582	13,440	7,712	4,494
2016	종로구	사직동	3,489	53,850	22,208	2,069	1,011	45,039	18,489	5,767	2,286	975	422
2016	종로구	삼청동	751	4,823	2,475	584	320	3,470	1,619	620	427	149	109
2016	종로구	부암동	575	3,690	1,794	521	257	2,633	1,225	311	186	225	126
2016	종로구	평창동	708	2,990	1,585	606	302	1,854	995	382	222	148	66
2016	종로구	무악동	573	1,472	716	554	123	797	525	42	17	79	51
2016	종로구	교남동	302	3,612	2,108	257	111	3,045	1,795	153	101	157	101
2016	종로구	가회동	770	14,215	3,421	666	361	11,374	2,342	2,108	682	67	36
2016	종로구	종로1.2.3.4가동	15,970	110,743	44,602	14,349	5,472	84,520	32,698	9,224	4,845	2,650	1,587
2016	종로구	종로5·6가동	7,691	23,392	8,933	8,000	3,026	12,983	4,668	1,697	961	712	278
2016	종로구	이화동	1,248	16,032	9,349	996	421	13,067	7,795	1,671	1,042	298	91
2016	종로구	창신1동	2,273	6,340	3,225	2,486	913	2,679	1,516	733	446	442	350
2016	종로구	창신2동	872	2,429	1,358	1,119	478	572	344	411	283	327	253
2016	종로구	창신3동	283	874	414	301	116	475	231	88	61	10	6
2016	종로구	숭인1동	533	1,587	871	614	253	571	333	141	103	261	182
2016	종로구	숭인2동	1,881	6,819	3,623	1,975	716	3,674	2,127	627	323	543	457
2016	종로구	청운효자동	1,009	6,415	2,892	921	484	4,633	1,823	703	465	158	120
2016	종로구	혜화동	1,736	9,026	4,401	1,641	732	4,970	2,420	1,904	990	511	259
2016	중구	소계	63,640	402,892	181,135	63,625	29,100	292,930	123,843	32,899	19,714	13,438	8,478
2016	중구	소공동	3,929	65,041	27,289	2,381	1,080	56,809	22,588	3,075	1,917	2,776	1,704
2016	중구	회현동	9,697	52,540	24,400	10,106	5,992	36,828	14,566	3,687	2,393	1,919	1,449
2016	중구	명동	6,778	115,866	51,709	4,334	1,869	100,326	42,573	7,908	5,037	3,298	2,230
2016	중구	필동	3,159	24,075	10,185	2,508	816	18,022	7,438	3,031	1,514	514	417
2016	중구	장충동	911	9,874	4,006	700	284	7,606	3,095	1,454	569	114	58
2016	중구	광희동	9,380	38,813	17,610	9,925	4,116	23,022	9,832	4,546	2,980	1,320	682
2016	중구	을지로동	9,442	29,762	10,833	10,007	2,889	16,514	6,394	2,008	822	1,233	728
2016	중구	신당5동	1,283	3,942	2,075	1,696	781	1,411	749	748	485	87	60
2016	중구	황학동	1,963	6,435	2,844	2,382	1,024	3,584	1,523	366	248	103	49
2016	중구	중림동	1,005	7,677	3,576	919	369	5,271	2,411	718	466	769	330
