연도,구,분류,입주량
13,용산구,입주,669
14,용산구,입주,642
15,용산구,입주,875
16,용산구,입주,68
17,용산구,입주,2116
18,용산구,입주,356
19,용산구,입주,478
20,용산구,입주,1140
21,용산구,입주,55
22,용산구,입주,0
13,종로구,입주,843
14,종로구,입주,433
15,종로구,입주,194
16,종로구,입주,86
17,종로구,입주,2779
18,종로구,입주,0
19,종로구,입주,311
20,종로구,입주,0
21,종로구,입주,0
22,종로구,입주,159
13,중구,입주,362
14,중구,입주,1539
15,중구,입주,110
16,중구,입주,2039
17,중구,입주,1446
18,중구,입주,689
19,중구,입주,1112
20,중구,입주,157
21,중구,입주,0
22,중구,입주,0
13,성동구,입주,471
14,성동구,입주,1915
15,성동구,입주,1825
16,성동구,입주,6077
17,성동구,입주,1608
18,성동구,입주,2044
19,성동구,입주,1420
20,성동구,입주,0
21,성동구,입주,280
22,성동구,입주,0
13,광진구,입주,73
14,광진구,입주,524
15,광진구,입주,315
16,광진구,입주,203
17,광진구,입주,975
18,광진구,입주,1343
19,광진구,입주,438
20,광진구,입주,0
21,광진구,입주,390
22,광진구,입주,730
13,동대문구,입주,1835
14,동대문구,입주,5857
15,동대문구,입주,2036
16,동대문구,입주,1986
17,동대문구,입주,875
18,동대문구,입주,2424
19,동대문구,입주,4246
20,동대문구,입주,429
21,동대문구,입주,1048
22,동대문구,입주,0
13,중랑구,입주,3250
14,중랑구,입주,1644
15,중랑구,입주,814
16,중랑구,입주,364
17,중랑구,입주,822
18,중랑구,입주,829
19,중랑구,입주,877
20,중랑구,입주,2203
21,중랑구,입주,708
22,중랑구,입주,403
13,성북구,입주,1011
14,성북구,입주,568
15,성북구,입주,636
16,성북구,입주,677
17,성북구,입주,1826
18,성북구,입주,165
19,성북구,입주,6685
20,성북구,입주,1416
21,성북구,입주,0
22,성북구,입주,2143
13,강북구,입주,231
14,강북구,입주,703
15,강북구,입주,118
16,강북구,입주,202
17,강북구,입주,698
18,강북구,입주,119
19,강북구,입주,1028
20,강북구,입주,0
21,강북구,입주,0
22,강북구,입주,0
13,도봉구,입주,401
14,도봉구,입주,350
15,도봉구,입주,58
16,도봉구,입주,416
17,도봉구,입주,66
18,도봉구,입주,370
19,도봉구,입주,199
20,도봉구,입주,0
21,도봉구,입주,0
22,도봉구,입주,0
13,노원구,입주,279
14,노원구,입주,638
15,노원구,입주,74
16,노원구,입주,1339
17,노원구,입주,464
18,노원구,입주,573
19,노원구,입주,1024
20,노원구,입주,1508
21,노원구,입주,1370
22,노원구,입주,0
13,은평구,입주,950
14,은평구,입주,835
15,은평구,입주,1974
16,은평구,입주,309
17,은평구,입주,1657
18,은평구,입주,2477
19,은평구,입주,5711
20,은평구,입주,4487
21,은평구,입주,1871
22,은평구,입주,0
13,서대문구,입주,248
14,서대문구,입주,628
15,서대문구,입주,5359
16,서대문구,입주,361
17,서대문구,입주,885
18,서대문구,입주,4840
19,서대문구,입주,1624
20,서대문구,입주,2285
21,서대문구,입주,1116
22,서대문구,입주,320
13,마포구,입주,347
14,마포구,입주,5633
15,마포구,입주,2431
16,마포구,입주,2501
17,마포구,입주,592
18,마포구,입주,1764
19,마포구,입주,1557
20,마포구,입주,1720
21,마포구,입주,1431
22,마포구,입주,0
13,양천구,입주,260
14,양천구,입주,1227
15,양천구,입주,380
16,양천구,입주,1939
17,양천구,입주,244
18,양천구,입주,595
19,양천구,입주,1319
20,양천구,입주,3072
21,양천구,입주,1497
22,양천구,입주,0
13,강서구,입주,2132
14,강서구,입주,7439
15,강서구,입주,3214
16,강서구,입주,2457
17,강서구,입주,2436
18,강서구,입주,1486
19,강서구,입주,1474
20,강서구,입주,298
21,강서구,입주,143
22,강서구,입주,217
13,구로구,입주,1392
14,구로구,입주,3373
15,구로구,입주,1093
16,구로구,입주,733
17,구로구,입주,773
18,구로구,입주,1635
19,구로구,입주,4131
20,구로구,입주,780
21,구로구,입주,0
22,구로구,입주,0
13,금천구,입주,454
14,금천구,입주,2142
15,금천구,입주,77
16,금천구,입주,1893
17,금천구,입주,1068
18,금천구,입주,1866
19,금천구,입주,568
20,금천구,입주,68
21,금천구,입주,0
22,금천구,입주,0
13,영등포구,입주,1833
14,영등포구,입주,1965
15,영등포구,입주,1590
16,영등포구,입주,624
17,영등포구,입주,4542
18,영등포구,입주,1125
19,영등포구,입주,1056
20,영등포구,입주,6670
21,영등포구,입주,308
22,영등포구,입주,0
13,동작구,입주,2043
14,동작구,입주,352
15,동작구,입주,680
16,동작구,입주,1705
17,동작구,입주,298
18,동작구,입주,3455
19,동작구,입주,22
20,동작구,입주,977
21,동작구,입주,1473
22,동작구,입주,640
13,관악구,입주,999
14,관악구,입주,798
15,관악구,입주,429
16,관악구,입주,707
17,관악구,입주,554
18,관악구,입주,437
19,관악구,입주,1694
20,관악구,입주,430
21,관악구,입주,0
22,관악구,입주,0
13,서초구,입주,5219
14,서초구,입주,3274
15,서초구,입주,2336
16,서초구,입주,2987
17,서초구,입주,1328
18,서초구,입주,3973
19,서초구,입주,1091
20,서초구,입주,2448
21,서초구,입주,2719
22,서초구,입주,0
13,강남구,입주,2573
14,강남구,입주,6454
15,강남구,입주,3855
16,강남구,입주,1799
17,강남구,입주,513
18,강남구,입주,1523
19,강남구,입주,3526
20,강남구,입주,2395
21,강남구,입주,2659
22,강남구,입주,499
13,송파구,입주,3478
14,송파구,입주,92
15,송파구,입주,1319
16,송파구,입주,6844
17,송파구,입주,3164
18,송파구,입주,11034
19,송파구,입주,1115
20,송파구,입주,1199
21,송파구,입주,542
22,송파구,입주,1945
13,강동구,입주,818
14,강동구,입주,1060
15,강동구,입주,746
16,강동구,입주,4842
