연,월,날짜,강북구,광진구,노원구,도봉구,동대문구,마포구,서대문구,성동구,성북구,용산구,은평구,종로구,중구,중랑구,강남구,강동구,강서구,관악구,구로구,금천구,동작구,서초구,송파구,양천구,영등포구
2014,09,201409,66.2,68.3,66.0,66.1,69.5,67.7,71.0,68.6,71.8,55.1,66.4,62.5,69.2,63.9,56.4,60.5,66.8,68.9,69.2,65.1,69.1,60.2,60.9,61.5,62.4
2014,10,201410,66.5,68.9,66.3,66.9,69.7,67.9,71.5,68.8,72.1,55.4,66.6,62.7,69.6,64.2,56.5,60.9,67.1,69.4,69.4,65.3,69.6,60.2,61.1,61.3,62.8
2014,11,201411,66.8,69.6,66.4,67.1,69.8,68.1,71.4,69.6,72.5,56.1,67.1,64.9,69.7,64.4,57.4,61.1,67.4,69.9,69.5,66.5,69.9,60.3,61.4,61.3,63.0
2014,12,201412,67.1,70.0,66.7,67.6,70.3,68.2,71.8,69.6,73.0,56.5,67.1,65.2,70.0,65.0,58.2,61.6,68.3,70.3,69.7,66.6,70.1,61.2,61.8,62.3,63.5
2015,01,201501,68.1,70.4,67.0,67.4,70.6,68.5,72.5,69.8,73.4,57.3,67.2,65.4,70.1,66.2,58.5,62.3,68.9,70.5,69.9,66.7,70.5,62.1,62.1,62.7,63.7
2015,02,201502,68.7,71.0,67.3,67.9,71.9,68.9,73.1,70.2,73.8,57.8,67.8,66.0,70.7,67.0,59.1,64.2,70.0,71.1,70.2,66.9,71.6,63.7,62.9,63.3,63.9
2015,03,201503,69.4,72.0,67.9,68.4,72.5,69.5,73.5,70.7,75.0,58.2,68.6,66.1,72.0,68.0,60.3,65.6,71.4,71.6,71.1,66.9,72.7,64.6,63.7,63.6,64.6
2015,04,201504,69.8,72.2,68.2,69.2,72.8,70.3,74.3,71.4,75.4,58.5,69.1,66.1,72.3,69.1,60.8,67.0,72.1,72.1,71.9,67.6,73.4,65.3,64.1,63.4,65.6
2015,05,201505,70.4,72.7,69.0,70.1,72.9,71.0,74.7,71.5,75.4,58.5,69.6,66.5,73.5,69.9,61.4,67.5,73.7,72.4,72.4,67.9,74.3,65.7,64.5,63.7,66.6
2015,06,201506,71.4,73.7,70.3,71.1,73.4,72.3,74.9,72.8,76.7,59.0,70.6,67.0,74.2,70.3,61.7,67.8,75.2,73.0,73.0,69.0,75.6,65.7,65.2,64.1,67.4
2015,07,201507,71.8,73.8,71.1,71.4,73.7,73.0,75.2,73.6,78.1,59.9,71.6,67.2,74.8,70.8,61.7,70.3,77.0,74.3,73.5,69.7,75.8,65.9,65.7,65.2,68.1
2015,08,201508,72.5,74.2,71.5,71.8,73.6,74.2,75.2,74.2,80.1,60.0,72.3,68.1,75.2,71.1,62.7,70.4,77.8,75.0,74.2,70.7,77.4,66.0,66.3,65.6,68.3
2015,09,201509,73.4,74.5,72.5,73.0,74.6,74.8,76.0,75.0,81.6,60.3,72.9,68.2,76.1,71.5,62.7,70.7,79.6,75.8,76.3,71.9,78.4,65.9,67.5,67.0,69.0
2015,10,201510,74.3,75.0,73.1,73.3,75.6,75.6,76.5,76.1,81.8,60.6,73.4,68.5,76.5,71.6,62.9,70.7,79.9,76.3,77.3,71.8,79.0,66.3,68.4,68.0,69.5
