날짜,구,지수
20160901,용산구,8.04
20160902,용산구,7.32
20160903,용산구,5.66
20160904,용산구,8.56
20160905,용산구,7.42
20160906,용산구,5.50
20160907,용산구,5.76
20160908,용산구,6.02
20160909,용산구,5.92
20160910,용산구,6.12
20160911,용산구,6.59
20160912,용산구,5.66
20160913,용산구,6.49
20160914,용산구,5.86
20160915,용산구,6.95
20160916,용산구,6.43
20160917,용산구,7.42
20160918,용산구,9.03
20160919,용산구,5.92
20160920,용산구,6.12
20160921,용산구,5.92
20160922,용산구,6.23
20160923,용산구,5.71
20160924,용산구,6.33
20160925,용산구,6.90
20160926,용산구,6.95
20160927,용산구,7.47
20160928,용산구,8.04
20160929,용산구,5.81
20160930,용산구,6.95
20161001,용산구,6.75
20161002,용산구,6.75
20161003,용산구,7.94
20161004,용산구,6.12
20161005,용산구,6.54
20161006,용산구,5.92
20161007,용산구,6.85
20161008,용산구,7.32
20161009,용산구,7.06
20161010,용산구,7.16
20161011,용산구,5.66
20161012,용산구,5.66
20161013,용산구,5.71
20161014,용산구,6.18
20161015,용산구,8.46
20161016,용산구,6.90
20161017,용산구,7.63
20161018,용산구,7.47
20161019,용산구,6.02
20161020,용산구,6.75
20161021,용산구,6.28
20161022,용산구,6.18
20161023,용산구,17.59
20161024,용산구,7.94
20161025,용산구,6.12
20161026,용산구,4.98
20161027,용산구,6.59
20161028,용산구,5.45
20161029,용산구,4.77
20161030,용산구,7.06
20161031,용산구,6.07
20161101,용산구,6.38
20161102,용산구,5.03
20161103,용산구,6.33
20161104,용산구,7.42
20161105,용산구,10.85
20161106,용산구,7.11
20161107,용산구,7.78
20161108,용산구,7.11
20161109,용산구,7.21
20161110,용산구,5.60
20161111,용산구,5.71
20161112,용산구,7.68
20161113,용산구,9.70
20161114,용산구,9.34
20161115,용산구,6.49
20161116,용산구,6.59
20161117,용산구,5.55
20161118,용산구,5.81
20161119,용산구,6.59
20161120,용산구,5.60
20161121,용산구,7.99
20161122,용산구,6.90
20161123,용산구,6.69
20161124,용산구,6.90
20161125,용산구,5.92
20161126,용산구,9.39
20161127,용산구,9.29
20161128,용산구,10.79
20161129,용산구,6.95
20161130,용산구,6.90
20161201,용산구,6.33
20161202,용산구,5.29
20161203,용산구,5.60
20161204,용산구,7.42
20161205,용산구,6.64
20161206,용산구,5.14
20161207,용산구,6.54
20161208,용산구,5.60
20161209,용산구,6.02
20161210,용산구,6.02
20161211,용산구,7.78
20161212,용산구,6.75
20161213,용산구,6.12
20161214,용산구,5.40
20161215,용산구,4.77
20161216,용산구,5.40
20161217,용산구,5.71
20161218,용산구,5.24
20161219,용산구,4.10
20161220,용산구,5.14
20161221,용산구,7.01
20161222,용산구,6.12
20161223,용산구,4.46
20161224,용산구,5.50
20161225,용산구,7.16
20161226,용산구,5.40
20161227,용산구,6.28
20161228,용산구,5.09
20161229,용산구,6.07
20161230,용산구,6.95
20161231,용산구,4.72
20170101,용산구,5.71
20170102,용산구,7.16
20170103,용산구,6.38
20170104,용산구,5.97
20170105,용산구,7.27
20170106,용산구,6.07
20170107,용산구,8.15
20170108,용산구,7.32
20170109,용산구,5.81
20170110,용산구,6.12
20170111,용산구,5.97
20170112,용산구,7.99
20170113,용산구,6.02
20170114,용산구,6.59
20170115,용산구,8.61
20170116,용산구,7.11
20170117,용산구,9.08
20170118,용산구,6.90
20170119,용산구,5.81
20170120,용산구,6.75
20170121,용산구,5.19
20170122,용산구,8.15
20170123,용산구,7.99
20170124,용산구,8.15
20170125,용산구,7.16
20170126,용산구,6.54
20170127,용산구,6.33
20170128,용산구,5.92
20170129,용산구,8.41
20170130,용산구,10.48
20170131,용산구,9.24
20170201,용산구,6.18
20170202,용산구,7.47
20170203,용산구,6.49
20170204,용산구,7.99
20170205,용산구,8.35
20170206,용산구,7.47
20170207,용산구,7.01
20170208,용산구,8.77
20170209,용산구,7.47
20170210,용산구,8.77
20170211,용산구,7.01
20170212,용산구,7.84
20170213,용산구,6.43
20170214,용산구,7.21
20170215,용산구,7.58
20170216,용산구,6.23
20170217,용산구,5.40
20170218,용산구,7.89
20170219,용산구,8.30
20170220,용산구,7.11
20170221,용산구,7.84
20170222,용산구,5.97
20170223,용산구,7.52
20170224,용산구,7.52
20170225,용산구,6.69
20170226,용산구,7.89
20170227,용산구,8.25
20170228,용산구,7.21
20170301,용산구,11.31
20170302,용산구,8.30
20170303,용산구,6.49
20170304,용산구,6.33
20170305,용산구,7.99
20170306,용산구,8.15
20170307,용산구,8.67
20170308,용산구,7.58
20170309,용산구,9.29
20170310,용산구,7.21
20170311,용산구,5.92
20170312,용산구,8.77
20170313,용산구,9.03
20170314,용산구,7.58
20170315,용산구,9.03
20170316,용산구,6.38
20170317,용산구,7.94
20170318,용산구,7.27
20170319,용산구,7.37
20170320,용산구,7.63
20170321,용산구,7.11
20170322,용산구,5.40
20170323,용산구,6.64
20170324,용산구,4.41
20170325,용산구,7.21
20170326,용산구,8.93
20170327,용산구,7.01
20170328,용산구,5.50
20170329,용산구,7.37
20170330,용산구,6.69
20170331,용산구,6.90
20170401,용산구,7.06
20170402,용산구,6.12
20170403,용산구,8.30
20170404,용산구,8.30
20170405,용산구,7.06
20170406,용산구,8.15
20170407,용산구,6.23
20170408,용산구,7.63
20170409,용산구,8.82
20170410,용산구,9.65
20170411,용산구,8.30
20170412,용산구,8.35
20170413,용산구,6.07
20170414,용산구,6.95
20170415,용산구,6.64
20170416,용산구,9.08
20170417,용산구,7.37
20170418,용산구,10.02
20170419,용산구,7.06
20170420,용산구,7.94
20170421,용산구,7.01
20170422,용산구,6.95
20170423,용산구,26.93
