날짜,구,검색지수
201609,강남구,15.44
201609,강동구,1.22
201609,강북구,1.68
201609,강서구,0.78
201609,관악구,0.45
201609,광진구,0.02
201609,구로구,1.91
201609,금천구,0.10
201609,노원구,1.99
201609,도봉구,0.24
201609,동대문구,2.92
201609,동작구,0.48
201609,마포구,6.36
201609,서대문구,1.75
201609,서초구,2.08
201609,성동구,0.04
201609,성북구,0.20
201609,송파구,2.70
201609,양천구,1.28
201609,영등포구,3.29
201609,용산구,6.64
201609,은평구,0.33
201609,종로구,1.12
201609,중구,1.36
201609,중랑구,0.01
201610,강남구,13.46
201610,강동구,1.43
201610,강북구,1.54
201610,강서구,0.72
201610,관악구,0.85
201610,광진구,0.00
201610,구로구,1.87
201610,금천구,0.10
201610,노원구,1.77
201610,도봉구,0.15
201610,동대문구,3.08
201610,동작구,0.35
201610,마포구,6.34
201610,서대문구,1.70
201610,서초구,2.16
201610,성동구,0.02
201610,성북구,0.31
201610,송파구,2.45
201610,양천구,1.24
201610,영등포구,3.23
201610,용산구,6.90
201610,은평구,0.31
201610,종로구,1.10
201610,중구,1.16
201610,중랑구,0.03
201611,강남구,12.66
201611,강동구,1.01
201611,강북구,1.31
201611,강서구,0.61
201611,관악구,0.56
201611,광진구,0.02
201611,구로구,2.05
201611,금천구,0.06
201611,노원구,1.66
201611,도봉구,0.14
201611,동대문구,3.28
201611,동작구,0.24
201611,마포구,5.79
201611,서대문구,1.63
201611,서초구,1.83
201611,성동구,0.01
201611,성북구,0.15
201611,송파구,2.12
201611,양천구,1.07
201611,영등포구,2.69
201611,용산구,7.25
201611,은평구,0.28
201611,종로구,1.09
201611,중구,1.02
201611,중랑구,0.00
201612,강남구,13.88
201612,강동구,0.93
201612,강북구,1.17
201612,강서구,0.80
201612,관악구,0.59
201612,광진구,0.01
201612,구로구,2.25
201612,금천구,0.03
201612,노원구,1.49
201612,도봉구,0.24
201612,동대문구,2.60
201612,동작구,0.18
201612,마포구,5.98
201612,서대문구,1.65
201612,서초구,1.84
201612,성동구,0.01
201612,성북구,0.06
201612,송파구,2.08
201612,양천구,1.31
201612,영등포구,2.80
201612,용산구,5.86
201612,은평구,0.32
201612,종로구,1.01
201612,중구,1.03
201612,중랑구,0.01
201701,강남구,13.17
201701,강동구,1.17
201701,강북구,1.48
201701,강서구,0.85
201701,관악구,0.75
201701,광진구,0.00
201701,구로구,2.88
201701,금천구,0.15
201701,노원구,1.86
201701,도봉구,0.28
201701,동대문구,6.03
201701,동작구,0.46
201701,마포구,6.71
201701,서대문구,2.10
201701,서초구,2.24
201701,성동구,0.02
201701,성북구,0.23
201701,송파구,2.50
201701,양천구,1.17
201701,영등포구,3.17
201701,용산구,7.11
201701,은평구,0.36
201701,종로구,1.41
201701,중구,1.14
201701,중랑구,0.00
201702,강남구,15.58
201702,강동구,1.36
201702,강북구,1.89
201702,강서구,0.82
201702,관악구,0.71
201702,광진구,0.02
201702,구로구,2.59
201702,금천구,0.05
201702,노원구,1.99
