인구이동연,인구이동월,날짜,인구이동구,구별이동 ,구인구,비율
2014,09,201409,종로구,-150,"165,344",-0.09%
2014,09,201409,중구,-128,"136,227",-0.09%
2014,09,201409,용산구,-440,"249,914",-0.18%
2014,09,201409,성동구,-611,"303,891",-0.20%
2014,09,201409,광진구,-677,"377,375",-0.18%
2014,09,201409,동대문구,960,"376,319",0.26%
2014,09,201409,중랑구,-151,"423,411",-0.04%
2014,09,201409,성북구,"-1,042","475,961",-0.22%
2014,09,201409,강북구,-428,"338,410",-0.13%
2014,09,201409,도봉구,-580,"355,712",-0.16%
2014,09,201409,노원구,-437,"586,056",-0.07%
2014,09,201409,은평구,-514,"503,243",-0.10%
2014,09,201409,서대문구,-212,"320,861",-0.07%
2014,09,201409,마포구,-314,"395,830",-0.08%
2014,09,201409,양천구,-605,"490,708",-0.12%
2014,09,201409,강서구,"1,818","591,653",0.31%
2014,09,201409,구로구,-334,"457,131",-0.07%
2014,09,201409,금천구,-201,"258,030",-0.08%
2014,09,201409,영등포구,-619,"421,436",-0.15%
2014,09,201409,동작구,-734,"419,261",-0.18%
2014,09,201409,관악구,-662,"531,960",-0.12%
2014,09,201409,서초구,836,"454,288",0.18%
2014,09,201409,강남구,993,"583,446",0.17%
2014,09,201409,송파구,"-1,087","671,794",-0.16%
2014,09,201409,강동구,-807,"481,332",-0.17%
2014,10,201410,종로구,-313,"165,344",-0.19%
2014,10,201410,중구,-202,"136,227",-0.15%
2014,10,201410,용산구,-635,"249,914",-0.25%
2014,10,201410,성동구,-920,"303,891",-0.30%
2014,10,201410,광진구,-897,"377,375",-0.24%
2014,10,201410,동대문구,864,"376,319",0.23%
2014,10,201410,중랑구,-216,"423,411",-0.05%
2014,10,201410,성북구,"-1,390","475,961",-0.29%
2014,10,201410,강북구,-617,"338,410",-0.18%
2014,10,201410,도봉구,-567,"355,712",-0.16%
2014,10,201410,노원구,-706,"586,056",-0.12%
2014,10,201410,은평구,-516,"503,243",-0.10%
2014,10,201410,서대문구,"-1,077","320,861",-0.34%
2014,10,201410,마포구,"1,718","395,830",0.43%
2014,10,201410,양천구,-663,"490,708",-0.14%
2014,10,201410,강서구,"1,461","591,653",0.25%
2014,10,201410,구로구,-902,"457,131",-0.20%
2014,10,201410,금천구,-363,"258,030",-0.14%
2014,10,201410,영등포구,-777,"421,436",-0.18%
2014,10,201410,동작구,-983,"419,261",-0.23%
2014,10,201410,관악구,-860,"531,960",-0.16%
2014,10,201410,서초구,973,"454,288",0.21%
2014,10,201410,강남구,"1,178","583,446",0.20%
2014,10,201410,송파구,"-1,787","671,794",-0.27%
2014,10,201410,강동구,-925,"481,332",-0.19%
2014,11,201411,종로구,-350,"165,344",-0.21%
2014,11,201411,중구,-362,"136,227",-0.27%
2014,11,201411,용산구,-685,"249,914",-0.27%
2014,11,201411,성동구,-574,"303,891",-0.19%
2014,11,201411,광진구,-850,"377,375",-0.23%
2014,11,201411,동대문구,248,"376,319",0.07%
2014,11,201411,중랑구,-160,"423,411",-0.04%
2014,11,201411,성북구,"-1,129","475,961",-0.24%
2014,11,201411,강북구,-352,"338,410",-0.10%
2014,11,201411,도봉구,-470,"355,712",-0.13%
2014,11,201411,노원구,"-1,040","586,056",-0.18%
2014,11,201411,은평구,-666,"503,243",-0.13%
2014,11,201411,서대문구,-863,"320,861",-0.27%
2014,11,201411,마포구,"2,106","395,830",0.53%
2014,11,201411,양천구,-329,"490,708",-0.07%
2014,11,201411,강서구,719,"591,653",0.12%
2014,11,201411,구로구,-597,"457,131",-0.13%
2014,11,201411,금천구,-289,"258,030",-0.11%
2014,11,201411,영등포구,-850,"421,436",-0.20%
2014,11,201411,동작구,-799,"419,261",-0.19%
2014,11,201411,관악구,-947,"531,960",-0.18%
2014,11,201411,서초구,-148,"454,288",-0.03%
2014,11,201411,강남구,"1,255","583,446",0.22%
2014,11,201411,송파구,"-1,149","671,794",-0.17%
2014,11,201411,강동구,-887,"481,332",-0.18%
2014,12,201412,종로구,-443,"165,344",-0.27%
2014,12,201412,중구,-425,"136,227",-0.31%
2014,12,201412,용산구,-496,"249,914",-0.20%
2014,12,201412,성동구,-758,"303,891",-0.25%
2014,12,201412,광진구,-691,"377,375",-0.18%
2014,12,201412,동대문구,-187,"376,319",-0.05%
2014,12,201412,중랑구,-599,"423,411",-0.14%
2014,12,201412,성북구,"-1,412","475,961",-0.30%
2014,12,201412,강북구,-488,"338,410",-0.14%
2014,12,201412,도봉구,-739,"355,712",-0.21%
2014,12,201412,노원구,"-1,562","586,056",-0.27%
2014,12,201412,은평구,-594,"503,243",-0.12%
2014,12,201412,서대문구,-655,"320,861",-0.20%
2014,12,201412,마포구,"1,063","395,830",0.27%
2014,12,201412,양천구,-585,"490,708",-0.12%
2014,12,201412,강서구,495,"591,653",0.08%
2014,12,201412,구로구,-801,"457,131",-0.18%
2014,12,201412,금천구,-364,"258,030",-0.14%
2014,12,201412,영등포구,-624,"421,436",-0.15%
2014,12,201412,동작구,-938,"419,261",-0.22%
2014,12,201412,관악구,-498,"531,960",-0.09%
2014,12,201412,서초구,-176,"454,288",-0.04%
2014,12,201412,강남구,"1,191","583,446",0.20%
2014,12,201412,송파구,"-1,359","671,794",-0.20%
2014,12,201412,강동구,-903,"481,332",-0.19%
2015,01,201501,종로구,-280,"163,822",-0.17%
2015,01,201501,중구,-136,"134,329",-0.10%
2015,01,201501,용산구,-282,"247,909",-0.11%
2015,01,201501,성동구,-252,"305,065",-0.08%
2015,01,201501,광진구,-336,"375,180",-0.09%
2015,01,201501,동대문구,-305,"373,824",-0.08%
2015,01,201501,중랑구,-376,"418,620",-0.09%
2015,01,201501,성북구,-485,"469,560",-0.10%
2015,01,201501,강북구,-115,"334,426",-0.03%
2015,01,201501,도봉구,-292,"353,241",-0.08%
