기간	컬럼1	컬럼2	합계	합계	합계	자영업주 및 무급가족	자영업주 및 무급가족	상용근로자	상용근로자	임시 및 일용근로자	임시 및 일용근로자	기타 종사자	기타 종사자
기간	컬럼1	컬럼2	사업체수	총종사자수	여성종사자	소계	여성종사자	소계	여성종사자	소계	여성종사자	소계	여성종사자
2015	합계	합계	820,658	5,108,828	2,221,109	759,049	313,489	3,469,071	1,468,408	660,249	310,040	220,459	129,172
2015	종로구	소계	40,871	269,106	116,340	39,512	16,288	197,053	81,748	24,784	13,661	7,757	4,643
2015	종로구	사직동	3,551	51,425	21,644	2,104	1,026	44,472	18,097	3,578	1,830	1,271	691
2015	종로구	삼청동	738	4,736	2,362	615	347	3,550	1,625	539	373	32	17
2015	종로구	부암동	540	3,635	1,921	506	244	2,257	1,183	841	484	31	10
2015	종로구	평창동	665	3,059	1,621	614	317	2,054	1,075	250	159	141	70
2015	종로구	무악동	581	1,510	706	572	137	716	451	118	61	104	57
2015	종로구	교남동	320	3,158	1,816	275	116	2,724	1,625	130	65	29	10
2015	종로구	가회동	755	12,215	3,411	648	363	10,911	2,582	597	441	59	25
2015	종로구	종로1.2.3.4가동	16,072	110,407	45,435	15,302	6,043	82,139	32,544	9,648	4,890	3,318	1,958
2015	종로구	종로5·6가동	7,726	25,723	9,520	8,301	3,269	15,096	5,102	1,772	886	554	263
2015	종로구	이화동	1,338	18,241	10,552	1,097	494	14,416	8,285	2,345	1,593	383	180
2015	종로구	창신1동	2,288	7,073	3,642	2,757	1,083	3,098	1,807	828	458	390	294
2015	종로구	창신2동	844	2,155	1,166	1,058	455	754	466	220	150	123	95
2015	종로구	창신3동	261	808	366	274	104	451	205	73	49	10	8
2015	종로구	숭인1동	522	1,595	839	572	237	750	425	159	125	114	52
2015	종로구	숭인2동	1,873	7,424	3,821	2,171	818	3,488	1,857	932	481	833	665
2015	종로구	청운효자동	1,007	6,275	2,712	916	466	4,522	1,736	727	431	110	79
2015	종로구	혜화동	1,790	9,667	4,806	1,730	769	5,655	2,683	2,027	1,185	255	169
2015	중구	소계	66,190	423,808	189,471	66,834	30,227	302,674	126,456	38,282	22,694	16,018	10,094
2015	중구	소공동	4,208	72,671	30,735	2,570	1,178	62,242	25,302	4,794	2,514	3,065	1,741
2015	중구	회현동	10,216	53,872	24,602	11,297	6,457	36,641	14,096	3,977	2,577	1,957	1,472
2015	중구	명동	6,881	122,217	54,380	4,473	1,884	103,717	43,996	10,047	6,147	3,980	2,353
2015	중구	필동	3,326	26,810	11,824	2,644	868	18,910	7,944	3,864	1,842	1,392	1,170
